matrix,a_star_misplaced_tile,bnb_misplaced_tile,a_star_manhattan_distance,bnb_manhattan_distance,a_star_manhattan_distance_plus_reversal_penalty,bnb_manhattan_distance_plus_reversal_penalty,avg_all,avg_a_star,avg_bnb,avg_misplaced_tile,avg_manhattan_distance,avg_manhattan_distance_plus_reversal_penalty
"[2, 3, 6, 7, 5, 4, 0, 8, 1]","{'final_iteration': 2355, 'max_depth': 20, 'solution_depth': 20}","{'solution_depth': 20, 'solution_iteration': 9971, 'final_iteration': 11197, 'max_depth': 29}","{'final_iteration': 321, 'max_depth': 20, 'solution_depth': 20}","{'solution_depth': 20, 'solution_iteration': 2841, 'final_iteration': 2935, 'max_depth': 30}","{'final_iteration': 266, 'max_depth': 20, 'solution_depth': 20}","{'solution_depth': 20, 'solution_iteration': 952, 'final_iteration': 1023, 'max_depth': 30}",3016.1666666666665,1852.0,4180.333333333333,6776.0,1628.0,644.5
"[7, 6, 3, 5, 0, 8, 2, 1, 4]","{'final_iteration': 2836, 'max_depth': 20, 'solution_depth': 20}","{'solution_depth': 20, 'solution_iteration': 87544, 'final_iteration': 90024, 'max_depth': 30}","{'final_iteration': 126, 'max_depth': 20, 'solution_depth': 20}","{'solution_depth': 20, 'solution_iteration': 20, 'final_iteration': 95, 'max_depth': 20}","{'final_iteration': 82, 'max_depth': 20, 'solution_depth': 20}","{'solution_depth': 20, 'solution_iteration': 20, 'final_iteration': 74, 'max_depth': 20}",15539.5,1004.3333333333334,30074.666666666668,46430.0,110.5,78.0
"[4, 8, 3, 0, 7, 6, 2, 5, 1]","{'final_iteration': 3857, 'max_depth': 21, 'solution_depth': 21}","{'solution_depth': 21, 'solution_iteration': 118462, 'final_iteration': 120613, 'max_depth': 31}","{'final_iteration': 245, 'max_depth': 21, 'solution_depth': 21}","{'solution_depth': 21, 'solution_iteration': 3735, 'final_iteration': 3769, 'max_depth': 31}","{'final_iteration': 172, 'max_depth': 21, 'solution_depth': 21}","{'solution_depth': 21, 'solution_iteration': 2954, 'final_iteration': 2984, 'max_depth': 31}",21940.0,2599.3333333333335,41280.666666666664,62235.0,2007.0,1578.0
"[0, 8, 7, 5, 2, 1, 6, 3, 4]","{'final_iteration': 111450, 'max_depth': 30, 'solution_depth': 30}","{'solution_depth': 26, 'solution_iteration': 401385, 'final_iteration': 424186, 'max_depth': 30}","{'final_iteration': 238, 'max_depth': 26, 'solution_depth': 26}","{'solution_depth': 26, 'solution_iteration': 4807, 'final_iteration': 4944, 'max_depth': 30}","{'final_iteration': 217, 'max_depth': 26, 'solution_depth': 26}","{'solution_depth': 26, 'solution_iteration': 3755, 'final_iteration': 3877, 'max_depth': 30}",90818.66666666667,38870.333333333336,142767.0,267818.0,2591.0,2047.0
"[6, 5, 7, 0, 4, 3, 8, 1, 2]","{'final_iteration': 20336, 'max_depth': 25, 'solution_depth': 25}","{'solution_depth': 25, 'solution_iteration': 208165, 'final_iteration': 243946, 'max_depth': 31}","{'final_iteration': 734, 'max_depth': 25, 'solution_depth': 25}","{'solution_depth': 25, 'solution_iteration': 19225, 'final_iteration': 19579, 'max_depth': 31}","{'final_iteration': 607, 'max_depth': 25, 'solution_depth': 25}","{'solution_depth': 25, 'solution_iteration': 13139, 'final_iteration': 13406, 'max_depth': 31}",49768.0,13507.333333333334,86028.66666666667,132141.0,10156.5,7006.5
"[7, 6, 2, 5, 4, 1, 8, 0, 3]","{'final_iteration': 3665, 'max_depth': 21, 'solution_depth': 21}","{'solution_depth': 21, 'solution_iteration': 19436, 'final_iteration': 23727, 'max_depth': 31}","{'final_iteration': 451, 'max_depth': 21, 'solution_depth': 21}","{'solution_depth': 21, 'solution_iteration': 302, 'final_iteration': 566, 'max_depth': 31}","{'final_iteration': 343, 'max_depth': 21, 'solution_depth': 21}","{'solution_depth': 21, 'solution_iteration': 2596, 'final_iteration': 2655, 'max_depth': 31}",5234.5,1524.6666666666667,8944.333333333334,13696.0,508.5,1499.0
"[8, 2, 0, 4, 3, 6, 7, 5, 1]","{'final_iteration': 13192, 'max_depth': 24, 'solution_depth': 24}","{'solution_depth': 24, 'solution_iteration': 65622, 'final_iteration': 80892, 'max_depth': 30}","{'final_iteration': 2544, 'max_depth': 24, 'solution_depth': 24}","{'solution_depth': 24, 'solution_iteration': 2834, 'final_iteration': 3723, 'max_depth': 28}","{'final_iteration': 1625, 'max_depth': 24, 'solution_depth': 24}","{'solution_depth': 24, 'solution_iteration': 2171, 'final_iteration': 2655, 'max_depth': 30}",17438.5,6180.0,28697.0,47042.0,3133.5,2140.0
"[2, 7, 4, 5, 6, 3, 8, 1, 0]","{'final_iteration': 5017, 'max_depth': 22, 'solution_depth': 22}","{'solution_depth': 22, 'solution_iteration': 128226, 'final_iteration': 129265, 'max_depth': 30}","{'final_iteration': 339, 'max_depth': 22, 'solution_depth': 22}","{'solution_depth': 22, 'solution_iteration': 3056, 'final_iteration': 3085, 'max_depth': 30}","{'final_iteration': 238, 'max_depth': 22, 'solution_depth': 22}","{'solution_depth': 22, 'solution_iteration': 2032, 'final_iteration': 2056, 'max_depth': 30}",23333.333333333332,2780.0,43886.666666666664,67141.0,1712.0,1147.0
"[5, 3, 2, 1, 8, 7, 4, 0, 6]","{'final_iteration': 735, 'max_depth': 17, 'solution_depth': 17}","{'solution_depth': 17, 'solution_iteration': 47758, 'final_iteration': 48241, 'max_depth': 31}","{'final_iteration': 114, 'max_depth': 17, 'solution_depth': 17}","{'solution_depth': 17, 'solution_iteration': 17, 'final_iteration': 89, 'max_depth': 17}","{'final_iteration': 105, 'max_depth': 17, 'solution_depth': 17}","{'solution_depth': 17, 'solution_iteration': 1085, 'final_iteration': 1086, 'max_depth': 31}",8395.0,309.6666666666667,16480.333333333332,24488.0,101.5,595.5
"[1, 2, 8, 4, 5, 7, 0, 6, 3]","{'final_iteration': 2159, 'max_depth': 20, 'solution_depth': 20}","{'solution_depth': 20, 'solution_iteration': 19541, 'final_iteration': 20635, 'max_depth': 30}","{'final_iteration': 206, 'max_depth': 20, 'solution_depth': 20}","{'solution_depth': 20, 'solution_iteration': 842, 'final_iteration': 1010, 'max_depth': 30}","{'final_iteration': 193, 'max_depth': 20, 'solution_depth': 20}","{'solution_depth': 20, 'solution_iteration': 754, 'final_iteration': 911, 'max_depth': 28}",4185.666666666667,1120.6666666666667,7250.666666666667,11397.0,608.0,552.0
"[4, 0, 2, 1, 3, 7, 6, 8, 5]","{'final_iteration': 49258, 'max_depth': 27, 'solution_depth': 27}","{'solution_depth': 27, 'solution_iteration': 83145, 'final_iteration': 225185, 'max_depth': 31}","{'final_iteration': 5509, 'max_depth': 27, 'solution_depth': 27}","{'solution_depth': 27, 'solution_iteration': 4697, 'final_iteration': 12824, 'max_depth': 31}","{'final_iteration': 3433, 'max_depth': 27, 'solution_depth': 27}","{'solution_depth': 27, 'solution_iteration': 446, 'final_iteration': 5079, 'max_depth': 31}",50214.666666666664,21838.333333333332,78591.0,137221.5,9166.5,4256.0
"[6, 0, 4, 2, 5, 3, 8, 1, 7]","{'final_iteration': 9782, 'max_depth': 23, 'solution_depth': 23}","{'solution_depth': 23, 'solution_iteration': 14109, 'final_iteration': 29877, 'max_depth': 31}","{'final_iteration': 914, 'max_depth': 23, 'solution_depth': 23}","{'solution_depth': 23, 'solution_iteration': 4136, 'final_iteration': 4843, 'max_depth': 31}","{'final_iteration': 514, 'max_depth': 23, 'solution_depth': 23}","{'solution_depth': 23, 'solution_iteration': 2392, 'final_iteration': 2808, 'max_depth': 31}",8123.0,5046.333333333333,11199.666666666666,19829.5,2878.5,1661.0
"[3, 6, 5, 0, 2, 8, 4, 1, 7]","{'final_iteration': 552, 'max_depth': 17, 'solution_depth': 17}","{'solution_depth': 17, 'solution_iteration': 31132, 'final_iteration': 31276, 'max_depth': 31}","{'final_iteration': 49, 'max_depth': 17, 'solution_depth': 17}","{'solution_depth': 17, 'solution_iteration': 1295, 'final_iteration': 1295, 'max_depth': 31}","{'final_iteration': 45, 'max_depth': 17, 'solution_depth': 17}","{'solution_depth': 17, 'solution_iteration': 412, 'final_iteration': 412, 'max_depth': 28}",5604.833333333333,630.6666666666666,10579.0,15914.0,672.0,228.5
"[5, 8, 7, 6, 4, 0, 3, 1, 2]","{'final_iteration': 87467, 'max_depth': 29, 'solution_depth': 29}","{'solution_depth': 29, 'solution_iteration': 41060, 'final_iteration': 399941, 'max_depth': 31}","{'final_iteration': 1502, 'max_depth': 29, 'solution_depth': 29}","{'solution_depth': 29, 'solution_iteration': 710, 'final_iteration': 2249, 'max_depth': 29}","{'final_iteration': 1330, 'max_depth': 29, 'solution_depth': 29}","{'solution_depth': 29, 'solution_iteration': 533, 'final_iteration': 1896, 'max_depth': 29}",82397.5,30348.666666666668,134446.33333333334,243704.0,1875.5,1613.0
"[7, 8, 0, 2, 5, 3, 1, 6, 4]","{'final_iteration': 5114, 'max_depth': 22, 'solution_depth': 22}","{'solution_depth': 22, 'solution_iteration': 33383, 'final_iteration': 40828, 'max_depth': 30}","{'final_iteration': 260, 'max_depth': 22, 'solution_depth': 22}","{'solution_depth': 22, 'solution_iteration': 168, 'final_iteration': 389, 'max_depth': 27}","{'final_iteration': 244, 'max_depth': 22, 'solution_depth': 22}","{'solution_depth': 22, 'solution_iteration': 1667, 'final_iteration': 1805, 'max_depth': 30}",8106.666666666667,1915.6666666666667,14297.666666666666,22971.0,324.5,1024.5
"[2, 1, 6, 0, 7, 8, 5, 3, 4]","{'final_iteration': 3896, 'max_depth': 21, 'solution_depth': 21}","{'solution_depth': 21, 'solution_iteration': 60105, 'final_iteration': 62262, 'max_depth': 31}","{'final_iteration': 387, 'max_depth': 21, 'solution_depth': 21}","{'solution_depth': 21, 'solution_iteration': 3179, 'final_iteration': 3500, 'max_depth': 31}","{'final_iteration': 174, 'max_depth': 21, 'solution_depth': 21}","{'solution_depth': 21, 'solution_iteration': 1561, 'final_iteration': 1639, 'max_depth': 31}",11976.333333333334,2523.3333333333335,21429.333333333332,33079.0,1943.5,906.5
"[3, 1, 4, 8, 7, 6, 2, 0, 5]","{'final_iteration': 22085, 'max_depth': 25, 'solution_depth': 25}","{'solution_depth': 25, 'solution_iteration': 122711, 'final_iteration': 163736, 'max_depth': 31}","{'final_iteration': 1672, 'max_depth': 25, 'solution_depth': 25}","{'solution_depth': 25, 'solution_iteration': 1317, 'final_iteration': 3068, 'max_depth': 29}","{'final_iteration': 1355, 'max_depth': 25, 'solution_depth': 25}","{'solution_depth': 25, 'solution_iteration': 909, 'final_iteration': 2290, 'max_depth': 29}",32367.666666666668,8836.0,55899.333333333336,92910.5,2370.0,1822.5
"[8, 0, 4, 6, 5, 7, 2, 3, 1]","{'final_iteration': 100026, 'max_depth': 29, 'solution_depth': 29}","{'solution_depth': 29, 'solution_iteration': 350475, 'final_iteration': 609900, 'max_depth': 31}","{'final_iteration': 3664, 'max_depth': 29, 'solution_depth': 29}","{'solution_depth': 29, 'solution_iteration': 3394, 'final_iteration': 5542, 'max_depth': 31}","{'final_iteration': 2547, 'max_depth': 29, 'solution_depth': 29}","{'solution_depth': 29, 'solution_iteration': 2499, 'final_iteration': 4132, 'max_depth': 31}",120968.5,36038.333333333336,205898.66666666666,354963.0,4603.0,3339.5
"[2, 1, 3, 6, 7, 8, 5, 4, 0]","{'final_iteration': 2490, 'max_depth': 20, 'solution_depth': 20}","{'solution_depth': 20, 'solution_iteration': 26171, 'final_iteration': 28182, 'max_depth': 30}","{'final_iteration': 705, 'max_depth': 20, 'solution_depth': 20}","{'solution_depth': 20, 'solution_iteration': 493, 'final_iteration': 764, 'max_depth': 30}","{'final_iteration': 469, 'max_depth': 20, 'solution_depth': 20}","{'solution_depth': 20, 'solution_iteration': 317, 'final_iteration': 418, 'max_depth': 27}",5504.666666666667,1241.0,9768.333333333334,15336.0,734.5,443.5
"[7, 2, 4, 0, 5, 1, 6, 3, 8]","{'final_iteration': 8916, 'max_depth': 23, 'solution_depth': 23}","{'solution_depth': 23, 'solution_iteration': 12471, 'final_iteration': 24469, 'max_depth': 30}","{'final_iteration': 428, 'max_depth': 23, 'solution_depth': 23}","{'solution_depth': 23, 'solution_iteration': 4153, 'final_iteration': 4375, 'max_depth': 31}","{'final_iteration': 335, 'max_depth': 23, 'solution_depth': 23}","{'solution_depth': 23, 'solution_iteration': 2494, 'final_iteration': 2683, 'max_depth': 31}",6867.666666666667,4542.0,9193.333333333334,16692.5,2401.5,1509.0
"[1, 8, 2, 6, 3, 4, 7, 0, 5]","{'final_iteration': 1773, 'max_depth': 19, 'solution_depth': 19}","{'solution_depth': 19, 'solution_iteration': 7801, 'final_iteration': 8542, 'max_depth': 31}","{'final_iteration': 164, 'max_depth': 19, 'solution_depth': 19}","{'solution_depth': 19, 'solution_iteration': 621, 'final_iteration': 744, 'max_depth': 31}","{'final_iteration': 154, 'max_depth': 19, 'solution_depth': 19}","{'solution_depth': 19, 'solution_iteration': 644, 'final_iteration': 744, 'max_depth': 29}",2020.1666666666667,890.3333333333334,3150.0,5157.5,454.0,449.0
"[3, 8, 6, 2, 7, 5, 1, 4, 0]","{'final_iteration': 2012, 'max_depth': 20, 'solution_depth': 20}","{'solution_depth': 20, 'solution_iteration': 2046, 'final_iteration': 4598, 'max_depth': 30}","{'final_iteration': 170, 'max_depth': 20, 'solution_depth': 20}","{'solution_depth': 20, 'solution_iteration': 338, 'final_iteration': 434, 'max_depth': 30}","{'final_iteration': 149, 'max_depth': 20, 'solution_depth': 20}","{'solution_depth': 20, 'solution_iteration': 216, 'final_iteration': 304, 'max_depth': 30}",1277.8333333333333,865.0,1690.6666666666667,3305.0,302.0,226.5
"[7, 6, 1, 3, 0, 2, 8, 4, 5]","{'final_iteration': 15996, 'max_depth': 24, 'solution_depth': 24}","{'solution_depth': 24, 'solution_iteration': 64562, 'final_iteration': 91411, 'max_depth': 30}","{'final_iteration': 1266, 'max_depth': 24, 'solution_depth': 24}","{'solution_depth': 24, 'solution_iteration': 1728, 'final_iteration': 3037, 'max_depth': 30}","{'final_iteration': 937, 'max_depth': 24, 'solution_depth': 24}","{'solution_depth': 24, 'solution_iteration': 642, 'final_iteration': 1591, 'max_depth': 28}",19039.666666666668,6656.666666666667,31422.666666666668,53703.5,2151.5,1264.0
